title,link,description
"<span style='font-weight: 500;'><i>Visit my soundcloud at <u><a href=""https://soundcloud.com/fat-dreams/wildcard"" target="_blank">https://soundcloud.com/fat-dreams/wildcard</a></u></i></span>",&nbsp;,&nbsp;
Winter Mix,"<u><a href=""https://soundcloud.com/fat-dreams/wildcard"" target="_blank">https://soundcloud.com/fat-dreams/wildcard</a></u>","<p>A Chill Winter Mix.</p>"
Spring Mix,"<u><a href=""https://soundcloud.com/fat-dreams/wildcard"" target="_blank">https://soundcloud.com/fat-dreams/wildcard</a></u>","<p>A Beautiful Spring Mix.</p>"
Summer Mix,"<u><a href=""https://soundcloud.com/fat-dreams/wildcard"" target="_blank">https://soundcloud.com/fat-dreams/wildcard</a></u>","<p>A Hot Summer Mix.</p>"
Fall Mix,"<u><a href=""https://soundcloud.com/fat-dreams/wildcard"" target="_blank">https://soundcloud.com/fat-dreams/wildcard</a></u>","<p>A Nostalgic Fall Mix.</p>"
